state,deaths_young,deaths_adult,deaths_elder,deaths_total,cases_young,cases_adult,cases_elder,cases_total,total_lethality,adult_lethality,elder_lethality,young_lethality
AC,1.0,31.0,65.0,97.0,185.0,3832.0,483.0,4500.0,0.021555555555555557,0.008089770354906054,0.13457556935817805,0.005405405405405406
BA,4.0,116.0,248.0,368.0,285.0,5977.0,1318.0,7580.0,0.04854881266490765,0.01940772963024929,0.18816388467374812,0.014035087719298246
BA,6.0,174.0,351.0,531.0,505.0,8097.0,1508.0,15070.0,0.035235567352355675,0.021489440533530937,0.23275862068965517,0.011881188118811881
CE,17.0,601.0,1857.0,2686.0,1638.0,25264.0,9543.0,37448.0,0.0717261268959624,0.023788790373654212,0.19459289531593837,0.010378510378510378
DF,0.0,28.0,95.0,123.0,368.0,5707.0,904.0,6979.0,0.01762430147585614,0.0049062554757315574,0.10508849557522124,0.0
ES,1.0,138.0,372.0,511.0,430.0,9178.0,1876.0,11484.0,0.044496691048415186,0.01503595554587056,0.19829424307036247,0.002325581395348837
GO,0.0,32.0,83.0,115.0,166.0,2439.0,496.0,3101.0,0.03708481135117704,0.013120131201312012,0.16733870967741934,0.0
MA,11.0,210.0,666.0,887.0,999.0,17436.0,5008.0,27979.0,0.031702348189713715,0.012044046799724708,0.13298722044728434,0.011011011011011011
MG,1.0,57.0,182.0,240.0,551.0,6005.0,1443.0,8011.0,0.029958806640868807,0.009492089925062447,0.12612612612612611,0.0018148820326678765
PA,28.0,758.0,1929.0,2715.0,1375.0,24969.0,6987.0,33699.0,0.08056618890768272,0.030357643477912612,0.27608415629025335,0.020363636363636365
PE,19.0,659.0,1790.0,2468.0,1163.0,22247.0,6509.0,29919.0,0.08248938801430529,0.02962197150177552,0.27500384083576584,0.01633705932932072
PI,2.001,36.9978,99.00119999999998,138.0,299.13149999999996,3186.4930000000004,758.2241,4243.0,0.03252415743577657,0.01161082104997563,0.13056984076343653,0.006689365713741281
RJ,11.0,488.0,864.0,4361.0,350.0,9156.0,2194.0,40024.0,0.10895962422546472,0.05329838357361293,0.39380127620783956,0.03142857142857143
RO,1.0,51.0,85.0,137.0,219.0,3198.0,445.0,3862.0,0.0354738477472812,0.01594746716697936,0.19101123595505617,0.0045662100456621
RS,1.0,33.0,175.0,209.0,336.0,5495.0,1217.0,7048.0,0.029653802497162315,0.006005459508644222,0.1437962202136401,0.002976190476190476
SC,1.0,35.0,90.0,126.0,487.0,5891.0,984.0,7372.0,0.01709169831795985,0.005941266338482431,0.09146341463414634,0.002053388090349076
SE,8.0,40.0,78.0,126.0,384.0,4921.0,606.0,5911.0,0.02131619015395026,0.00812842918106076,0.12871287128712872,0.020833333333333332
TO,0.0,26.0,42.0,68.0,307.0,2637.0,333.0,3277.0,0.020750686603600854,0.009859689040576413,0.12612612612612611,0.0
Brasil,112.001,3513.9978,9071.001199999999,15906.0,10047.1315,165635.493,42612.2241,257507.0,0.06176919462383547,0.02121524642064488,0.21287321635014114,0.01114755987816025
